"est_codigo","est_codigo_origem","est_ins_codigo","est_municipio","est_nome","est_altitude","est_dt_inst","est_dt_ult_atual","est_dt_inicio_ativ","est_dt_fim_ativ","est_rua","est_cep","est_fone","est_localizacao","est_comentario","est_tipo_estacao","est_modelo","est_geom_sad69","est_geom"
21,31846,1,2308708,"Morada Nova - Sede",54,"2004-08-08",,"2005-04-23","2020-02-27",,,,,,3,1,"01010000A0C3100000D037AF269E2D43C0AA600BB6608B14C00000000000000000","01010000A0E6100000D037AF269E2D43C0AA600BB6608B14C00000000000000000"
22,31833,1,2305357,"Icapuí - Ibicuitaba",10,"2003-11-01",,"2005-02-06","2018-06-30",,,,,,3,1,"01010000A0C31000009058F28B25A742C02A6587A9CBED12C00000000000000000","01010000A0E61000009058F28B25A742C02A6587A9CBED12C00000000000000000"
23,31839,1,2307007,"Jaguaruana",13,"2003-11-01",,"2005-02-06","2019-05-30",,,,,,3,1,"01010000A0C310000070A70D74DAE042C05D98BADCFE6013C00000000000000000","01010000A0E610000070A70D74DAE042C05D98BADCFE6013C00000000000000000"
24,"B8531C1C",1,2311504,"Quixerê",132,"2006-01-01",,"2006-01-01",,,,,"Fazenda Bessa. Contato: Frank Bessa","Antigo código de origem: 31849;  uma das 23 ET0",1,1,"01010000A0C31000003D74DA40A7ED42C0381A09F8E65514C00000000000000000","01010000A0E61000003D74DA40A7ED42C0381A09F8E65514C00000000000000000"
25,31822,1,2301851,"Banabuiú",144,"2004-08-02",,"2008-05-31","2000-01-01",,,,"Açude Banabuiu",,3,1,"01010000A0C3100000D4388EE3387643C0C507192A3B4C15C00000000000000000","01010000A0E6100000D4388EE3387643C0C507192A3B4C15C00000000000000000"
26,31816,1,2300200,"Acaraú",12,"2004-08-24",,"2008-06-08","2000-01-02",,,,"Fazenda Papagaio",,3,1,"01010000A0C3100000D7A3703D0AFF43C047D8822DD80207C00000000000000000","01010000A0E6100000D7A3703D0AFF43C047D8822DD80207C00000000000000000"
27,"B8525DEC",1,2300754,"Amontada",54,"2006-06-14",,"2006-06-14","2000-01-03",,,,"Fazenda Alto da Conceição. Contato: Carlos Mano","Antigo código de origem: 32331; uma das 23 ET0",1,1,"01010000A0C31000008455555555D543C0F9434444444408C00000000000000000","01010000A0E61000008455555555D543C0F9434444444408C00000000000000000"
28,31823,1,2302057,"Barroquinha",18,"2005-02-06",,"2005-02-06","2016-04-22",,,,,,3,1,"01010000A0C3100000FD941DA62E8F44C0713D0AD7A37007C00000000000000000","01010000A0E6100000FD941DA62E8F44C0713D0AD7A37007C00000000000000000"
29,31825,1,2303105,"Cariré",187,"2005-02-06",,"2005-02-06","2013-12-27",,,,,,3,1,"01010000A0C3100000CDCCCCCCCC5444C0A8941DA62EB70EC00000000000000000","01010000A0E6100000CDCCCCCCCC5444C0A8941DA62EB70EC00000000000000000"
30,31830,1,2304707,"Granja",31,"2004-08-22",,"2005-04-05",,,,,,,3,1,"01010000A0C31000004175B9FD416E44C04AF36AE2595109C00000000000000000","01010000A0E61000004175B9FD416E44C04AF36AE2595109C00000000000000000"
